Binomial.1.2,Q
Caprolagus_hispidus,1952.3065483156113
Capromeryx_minor,557.2912876385623
Capromys_garridoi,2978.8359064622955
Capromys_pilorides,3287.5083116422275
Caracal_aurata,12.79308913677167
Caracal_caracal,13.740823008167137
Cardiocranius_paradoxus,678.9150588095465
Carpitalpa_arendsi,532.8436286481351
Carpomys_melanurus,1363.9898361909798
Carpomys_phaeurus,1298.385467766331
Carterodon_sulcidens,1769.3607273359492
Caryomys_eva,3305.2879267027206
Caryomys_inez,3322.747316411668
Castor_canadensis,300.26814008455347
Castor_fiber,549.9398796874384
Castoroides_ohioensis,1338.3996291715887
Catagonus_stenocephalus,908.6987190969378
Catagonus_wagneri,962.7694373358584
Catonyx_cuvieri,1979.4515987660475
Catopuma_badia,9.381846622771675
Catopuma_temminckii,12.420078650238056
Cavia_aperea,5797.738977619391
Cavia_fulgida,4463.7316794110575
Cavia_intermedia,4954.951692505535
Cavia_magna,4394.810673704251
Cavia_patzelti,5470.386320931139
Cavia_tschudii,5835.471141767542
Cebuella_pygmaea,69.43453125478953
Cebus_aequatorialis,473.1871830165545
Cebus_albifrons,492.01875616775123
Cebus_brunneus,514.7979696143077
Cebus_capucinus,545.9751423151008
Cebus_cesarae,495.54680607664176
Cebus_cuscinus,510.5096696774805
Cebus_kaapori,500.2970918142497
Cebus_malitiosus,490.3531071562208
Cebus_versicolor,490.0544121704753
Cephalophus_adersi,300.7581829383943
Cephalophus_callipygus,342.96098094361645
Cephalophus_dorsalis,301.2470706754993
Cephalophus_harveyi,339.05861315324773
Cephalophus_jentinki,303.02748304974523
Cephalophus_leucogaster,330.8297738974666
Cephalophus_natalensis,335.5779549992699
Cephalophus_niger,330.45428139268023
Cephalophus_nigrifrons,326.6219312243175
Cephalophus_ogilbyi,349.32972822131586
Cephalophus_rufilatus,320.6354666728546
Cephalophus_silvicultor,366.3336732054229
Cephalophus_spadix,362.9600633499016
Cephalophus_weynsi,339.4496919143256
Cephalophus_zebra,356.15536463955976
Ceratotherium_simum,1336.2744334157587
Cercartetus_caudatus,164.85390783634807
Cercartetus_concinnus,345.0621673567736
Cercartetus_lepidus,324.5309040656713
Cercartetus_nanus,396.41766434457384
Cercocebus_agilis,1292.9069854210206
Cercocebus_atys,1097.409511891042
Cercocebus_chrysogaster,1332.7013871639842
Cercocebus_galeritus,1314.6656211350958
Cercocebus_lunulatus,1120.6448721102354
Cercocebus_sanjei,1210.7539480887779
Cercocebus_torquatus,1241.961990527117
Cercopithecus_ascanius,897.6299671064318
Cercopithecus_campbelli,744.156985557101
Cercopithecus_cephus,802.5131403799667
Cercopithecus_denti,744.0134517714745
Cercopithecus_diana,737.6574118869576
Cercopithecus_dryas,573.4769230988893
Cercopithecus_erythrogaster,794.0960476837689
Cercopithecus_erythrotis,847.1454160942246
Cercopithecus_hamlyni,778.3080414432728
Cercopithecus_lowei,732.4735359698453
Cercopithecus_mitis,992.1073065751963
Cercopithecus_mona,748.0523667835363
Cercopithecus_neglectus,837.6667889534417
Cercopithecus_nictitans,815.716265143239
Cercopithecus_petaurista,800.7948870246925
Cercopithecus_roloway,756.630642513257
Cercopithecus_sclateri,824.9864844192141
Cerdocyon_thous,55.118195701211526
Cerradomys_andersoni,683.9400927581162
Cerradomys_maracajuensis,820.9281036309083
Cerradomys_marinhus,869.9829085693939
Cerradomys_scotti,828.9939739826335
Cerradomys_subflavus,763.874040510896
Cervalces_scotti,1623.8016139841206
Cervus_albirostris,1446.6081973431837
Cervus_astylodon,911.3277076297943
Cervus_canadensis,1397.2491244734651
Cervus_elaphus,1402.3649676552823
Cervus_nippon,1052.7534059101934
Chacodelphys_formosa,92.84299306285321
Chaeropus_ecaudatus,295.1152121750734
Chaetocauda_sichuanensis,721.8264988051192
Chaetodipus_arenarius,470.6828700660313
Chaetodipus_artus,429.25756929276844
Chaetodipus_baileyi,954.6024545548769
Chaetodipus_californicus,460.79847124254866
Chaetodipus_eremicus,380.39821788948797
Chaetodipus_fallax,434.7877104608962
Chaetodipus_formosus,550.78447982124
Chaetodipus_goldmani,434.9243443589903
Chaetodipus_hispidus,617.6083036421113
Chaetodipus_intermedius,375.08762056573556
Chaetodipus_lineatus,415.27195002682413
Chaetodipus_nelsoni,385.9732743289078
Chaetodipus_penicillatus,342.26176398015554
Chaetodipus_pernix,369.5906238294632
Chaetodipus_rudinoris,820.5278472866908
Chaetodipus_spinatus,436.4527599720417
Chaetomys_subspinosus,858.2945195606621
Chaetophractus_vellerosus,53.745377586639734
Chaetophractus_villosus,69.42738669755624
Cheirogaleus_crossleyi,620.6329388644288
Cheirogaleus_major,617.560375138055
Cheirogaleus_medius,577.0661163131751
Cheirogaleus_minusculus,574.9480444332613
Cheirogaleus_sibreei,639.1199209879426
Chelemys_delfini,742.6428408415849
Chelemys_macronyx,893.5440128623396
Chelemys_megalonyx,829.4577489462588
Chibchanomys_orcesi,976.3883161017228
Chibchanomys_trichotis,1019.9486868715127
Chilomys_instans,754.4762694958905
Chimarrogale_hantu,774.0581717605434
Chimarrogale_himalayica,716.2171020929305
Chimarrogale_phaeura,695.2433114670695
Chimarrogale_platycephalus,707.5626334220649
Chimarrogale_styani,676.7934776552263
Chimarrogale_sumatrana,694.1072564604084
Chinchilla_chinchilla,972.5849658463499
Chinchilla_lanigera,1244.3416940691118
Chinchillula_sahamae,1046.24661984149
Chionomys_gud,5931.580882848507
Chionomys_nivalis,5562.97080445555
Chionomys_roberti,5948.474788838714
Chiromyscus_chiropus,922.9681153820068
Chironectes_minimus,342.7408979431447
Chiropodomys_calamianensis,1061.6855829044955
Chiropodomys_gliroides,932.4441921400778
Chiropodomys_karlkoopmani,990.8533704273683
Chiropodomys_major,1068.2761619070332
Chiropodomys_muroides,882.5305915866717
Chiropodomys_pusillus,927.7474323543654
Chiropotes_albinasus,281.94598641476966
Chiropotes_chiropotes,312.55105369280545
Chiropotes_satanas,326.5354345503258
Chiropotes_utahickae,306.3775754911243
Chiruromys_forbesi,1167.19875589135
Chiruromys_lamia,1005.2569942128949
Chiruromys_vates,1003.3836261143138
Chlamyphorus_truncatus,31.175022388486237
Chlorocebus_aethiops,528.2686068100647
Chlorocebus_cynosuros,532.737512244259
Chlorocebus_djamdjamensis,530.4353930050639
Chlorocebus_pygerythrus,526.627224055734
